Program "PAW_quantitative_report.py" run on Sun Oct 15 16:01:44 2017

	=SUBTOTAL(109,B5:B4441)													Total	Total	Total	Total	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected
4112	1	sp|Q9JIQ3|DBLOH_MOUSE	 	 	 	 	15.6	237	26820	Diablo homolog, mitochondrial OS=Mus musculus GN=Diablo PE=1 SV=2	11	11	1.000	4	1	2	4	4	1	2	4	4.000	1.000	2.000	4.000
4113	1	sp|Q9JIW9|RALB_MOUSE	 	 	sp|P63321|RALA_MOUSE, sp|Q9JIW9|RALB_MOUSE	 	38.3	206	23349	Ras-related protein Ral-B OS=Mus musculus GN=Ralb PE=1 SV=1	29	14	0.483	6	6	8	9	3	3	4	4	4.500	4.286	6.286	6.500
4114	1	sp|Q9JIX8|ACINU_MOUSE	 	 	 	 	6.6	1338	150717	Apoptotic chromatin condensation inducer in the nucleus OS=Mus musculus GN=Acin1 PE=1 SV=3	8	8	1.000	2	2	4	0	2	2	4	0	2.000	2.000	4.000	0.000
4115	1	sp|Q9JIY5|HTRA2_MOUSE	 	 	 	 	16.6	458	49348	Serine protease HTRA2, mitochondrial OS=Mus musculus GN=Htra2 PE=1 SV=2	28	28	1.000	8	6	7	7	8	6	7	7	8.000	6.000	7.000	7.000
4116	1	sp|Q9JIZ9|PLS3_MOUSE	 	 	 	 	13.5	296	31802	Phospholipid scramblase 3 OS=Mus musculus GN=Plscr3 PE=1 SV=1	17	17	1.000	4	4	4	5	4	4	4	5	4.000	4.000	4.000	5.000
4117	1	sp|Q9JJ00|PLS1_MOUSE	 	 	 	 	8.2	328	35914	Phospholipid scramblase 1 OS=Mus musculus GN=Plscr1 PE=1 SV=1	4	4	1.000	0	2	1	1	0	2	1	1	0.000	2.000	1.000	1.000
4118	1	sp|Q9JJ28|FLII_MOUSE	 	 	 	 	10.1	1271	144801	Protein flightless-1 homolog OS=Mus musculus GN=Flii PE=1 SV=1	20	20	1.000	5	6	7	2	5	6	7	2	5.000	6.000	7.000	2.000
4119	1	sp|Q9JJ59|ABCB9_MOUSE	 	 	sp|Q8K0E8|FIBB_MOUSE, sp|Q9JJ59|ABCB9_MOUSE	 	5.2	762	83962	ATP-binding cassette sub-family B member 9 OS=Mus musculus GN=Abcb9 PE=2 SV=1	6	3	0.500	2	1	1	2	1	0	1	1	1.020	0.000	1.000	1.022
4120	1	sp|Q9JJA4|WDR12_MOUSE	 	 	 	 	7.1	423	47346	Ribosome biogenesis protein WDR12 OS=Mus musculus GN=Wdr12 PE=1 SV=1	4	4	1.000	1	2	0	1	1	2	0	1	1.000	2.000	0.000	1.000
4121	1	sp|Q9JJC6|RIPL1_MOUSE	 	 	 	 	6.7	406	47323	RILP-like protein 1 OS=Mus musculus GN=Rilpl1 PE=1 SV=1	5	5	1.000	2	1	1	1	2	1	1	1	2.000	1.000	1.000	1.000
4122	1	sp|Q9JJE7|FADS3_MOUSE	 	 	 	 	9.8	449	51469	Fatty acid desaturase 3 OS=Mus musculus GN=Fads3 PE=2 SV=2	7	7	1.000	2	0	2	3	2	0	2	3	2.000	0.000	2.000	3.000
4123	1	sp|Q9JJG0|TACC2_MOUSE	 	 	sp|Q6Y685|TACC1_MOUSE, sp|Q9JJG0|TACC2_MOUSE	 	6.3	1149	124129	Transforming acidic coiled-coil-containing protein 2 OS=Mus musculus GN=Tacc2 PE=1 SV=2	12	4	0.333	4	3	2	3	2	1	0	1	2.444	1.250	0.000	1.250
4124	1	sp|Q9JJH1|RNAS4_MOUSE	 	 	 	 	27.7	148	17025	Ribonuclease 4 OS=Mus musculus GN=Rnase4 PE=1 SV=1	11	11	1.000	2	3	3	3	2	3	3	3	2.000	3.000	3.000	3.000
4125	1	sp|Q9JJI8|RL38_MOUSE	 	 	 	 	41.4	70	8204	60S ribosomal protein L38 OS=Mus musculus GN=Rpl38 PE=1 SV=3	18	18	1.000	2	4	6	6	2	4	6	6	2.000	4.000	6.000	6.000
4126	1	sp|Q9JJK2|LANC2_MOUSE	 	 	 	 	20.7	450	50777	LanC-like protein 2 OS=Mus musculus GN=Lancl2 PE=1 SV=1	18	18	1.000	5	6	4	3	5	6	4	3	5.000	6.000	4.000	3.000
4127	1	sp|Q9JJL8|SYSM_MOUSE	 	 	 	 	11.8	518	58316	Serine--tRNA ligase, mitochondrial OS=Mus musculus GN=Sars2 PE=1 SV=2	5	5	1.000	1	1	1	2	1	1	1	2	1.000	1.000	1.000	2.000
4128	1	sp|Q9JJN4|SCO2A_MOUSE	 	 	 	 	36.3	520	56472	Succinyl-CoA:3-ketoacid coenzyme A transferase 2A, mitochondrial OS=Mus musculus GN=Oxct2a PE=2 SV=2	44	44	1.000	7	26	4	7	7	26	4	7	7.000	26.000	4.000	7.000
4129	1	sp|Q9JJN5|CBPN_MOUSE	 	 	 	 	19.0	457	51845	Carboxypeptidase N catalytic chain OS=Mus musculus GN=Cpn1 PE=1 SV=1	19	19	1.000	4	3	7	5	4	3	7	5	4.000	3.000	7.000	5.000
4130	1	sp|Q9JJT9|PHAX_MOUSE	 	 	 	 	11.7	385	43247	Phosphorylated adapter RNA export protein OS=Mus musculus GN=Phax PE=1 SV=1	9	9	1.000	2	1	3	3	2	1	3	3	2.000	1.000	3.000	3.000
4131	1	sp|Q9JJU8|SH3L1_MOUSE	 	 	 	 	87.7	114	12811	SH3 domain-binding glutamic acid-rich-like protein OS=Mus musculus GN=Sh3bgrl PE=1 SV=1	93	93	1.000	21	27	25	20	21	27	25	20	21.000	27.000	25.000	20.000
4132	1	sp|Q9JJV2|PROF2_MOUSE	 	 	 	 	30.7	140	15032	Profilin-2 OS=Mus musculus GN=Pfn2 PE=1 SV=3	14	14	1.000	2	4	3	5	2	4	3	5	2.000	4.000	3.000	5.000
4133	1	sp|Q9JJX6|P2RX4_MOUSE	 	 	 	 	11.6	388	43438	P2X purinoceptor 4 OS=Mus musculus GN=P2rx4 PE=1 SV=1	4	4	1.000	1	0	2	1	1	0	2	1	1.000	0.000	2.000	1.000
4134	1	sp|Q9JJY3|NSMA2_MOUSE	 	 	 	 	4.0	655	71196	Sphingomyelin phosphodiesterase 3 OS=Mus musculus GN=Smpd3 PE=1 SV=1	4	4	1.000	0	0	2	2	0	0	2	2	0.000	0.000	2.000	2.000
4136	1	sp|Q9JJZ4|UB2J1_MOUSE	 	 	 	 	16.0	318	34989	Ubiquitin-conjugating enzyme E2 J1 OS=Mus musculus GN=Ube2j1 PE=1 SV=2	11	11	1.000	4	2	2	3	4	2	2	3	4.000	2.000	2.000	3.000
4137	1	sp|Q9JK23|PSMG1_MOUSE	 	 	 	 	17.0	289	33104	Proteasome assembly chaperone 1 OS=Mus musculus GN=Psmg1 PE=1 SV=1	9	9	1.000	2	1	3	3	2	1	3	3	2.000	1.000	3.000	3.000
4138	1	sp|Q9JK38|GNA1_MOUSE	 	 	 	 	23.9	184	20791	Glucosamine 6-phosphate N-acetyltransferase OS=Mus musculus GN=Gnpnat1 PE=1 SV=1	15	15	1.000	4	3	4	4	4	3	4	4	4.000	3.000	4.000	4.000
4139	1	sp|Q9JK42|PDK2_MOUSE	 	 	sp|Q8BFP9|PDK1_MOUSE, sp|Q9JK42|PDK2_MOUSE	 	25.1	407	46040	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial OS=Mus musculus GN=Pdk2 PE=1 SV=2	13	12	0.923	1	6	2	4	1	5	2	4	1.000	5.417	2.000	4.000
4140	1	sp|Q9JK48|SHLB1_MOUSE	 	 	sp|Q8R3V5|SHLB2_MOUSE, sp|Q9JK48|SHLB1_MOUSE	 	34.0	365	40855	Endophilin-B1 OS=Mus musculus GN=Sh3glb1 PE=1 SV=1	57	53	0.930	12	14	13	18	11	13	12	17	11.579	13.619	12.522	17.567
4141	1	sp|Q9JK53|PRELP_MOUSE	 	 	 	 	41.8	378	43292	Prolargin OS=Mus musculus GN=Prelp PE=1 SV=2	116	116	1.000	28	30	28	30	28	30	28	30	28.000	30.000	28.000	30.000
4142	1	sp|Q9JK81|MYG1_MOUSE	 	 	 	 	37.1	380	42722	UPF0160 protein MYG1, mitochondrial OS=Mus musculus GN=Myg1 PE=1 SV=1	44	44	1.000	10	8	14	12	10	8	14	12	10.000	8.000	14.000	12.000
4143	1	sp|Q9JK83|PAR6B_MOUSE	 	 	 	 	8.4	371	41067	Partitioning defective 6 homolog beta OS=Mus musculus GN=Pard6b PE=1 SV=2	2	2	1.000	0	0	0	2	0	0	0	2	0.000	0.000	0.000	2.000
4144	1	sp|Q9JK88|SPI2_MOUSE	 	 	 	 	7.2	405	45775	Serpin I2 OS=Mus musculus GN=Serpini2 PE=1 SV=1	4	4	1.000	0	3	0	1	0	3	0	1	0.000	3.000	0.000	1.000
4145	1	sp|Q9JK92|HSPB8_MOUSE	 	 	 	 	23.5	196	21533	Heat shock protein beta-8 OS=Mus musculus GN=Hspb8 PE=1 SV=1	14	14	1.000	3	3	4	4	3	3	4	4	3.000	3.000	4.000	4.000
4146	1	sp|Q9JKB1|UCHL3_MOUSE	 	 	 	 	37.4	230	26151	Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Mus musculus GN=Uchl3 PE=1 SV=2	38	38	1.000	12	10	7	9	12	10	7	9	12.000	10.000	7.000	9.000
4147	1	sp|Q9JKB3|YBOX3_MOUSE	 	 	sp|P62960|YBOX1_MOUSE, sp|Q9JKB3|YBOX3_MOUSE, sp|Q9Z2C8|YBOX2_MOUSE	 	24.1	361	38813	Y-box-binding protein 3 OS=Mus musculus GN=Ybx3 PE=1 SV=2	42	16	0.381	11	10	11	10	5	3	4	4	7.233	5.605	6.605	6.233
4148	1	sp|Q9JKC8|AP3M1_MOUSE	 	 	 	 	40.2	418	46936	AP-3 complex subunit mu-1 OS=Mus musculus GN=Ap3m1 PE=1 SV=1	32	32	1.000	8	7	10	7	8	7	10	7	8.000	7.000	10.000	7.000
4149	1	sp|Q9JKF1|IQGA1_MOUSE	 	 	sp|Q3UQ44|IQGA2_MOUSE, sp|Q9JKF1|IQGA1_MOUSE	 	52.4	1657	188740	Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2	361	348	0.964	94	83	93	91	92	79	89	88	93.720	82.224	92.390	90.588
4150	1	sp|Q9JKF7|RM39_MOUSE	 	 	 	 	7.4	336	38549	39S ribosomal protein L39, mitochondrial OS=Mus musculus GN=Mrpl39 PE=1 SV=4	9	9	1.000	3	2	2	2	3	2	2	2	3.000	2.000	2.000	2.000
4151	1	sp|Q9JKK1|STX6_MOUSE	 	 	 	 	18.0	255	28996	Syntaxin-6 OS=Mus musculus GN=Stx6 PE=1 SV=1	11	11	1.000	4	2	3	2	4	2	3	2	4.000	2.000	3.000	2.000
4152	1	sp|Q9JKK7|TMOD2_MOUSE	 	 	sp|P49813|TMOD1_MOUSE, sp|Q9JHJ0|TMOD3_MOUSE, sp|Q9JKK7|TMOD2_MOUSE	 	26.2	351	39510	Tropomodulin-2 OS=Mus musculus GN=Tmod2 PE=1 SV=2	19	15	0.789	5	3	5	6	4	2	4	5	4.182	2.100	4.174	5.227
4153	1	sp|Q9JKL4|NDUF3_MOUSE	 	 	 	 	29.2	185	20733	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 OS=Mus musculus GN=Ndufaf3 PE=1 SV=1	9	9	1.000	2	4	2	1	2	4	2	1	2.000	4.000	2.000	1.000
4154	1	sp|Q9JKN6|NOVA1_MOUSE	 	 	 	 	7.5	507	51755	RNA-binding protein Nova-1 OS=Mus musculus GN=Nova1 PE=1 SV=2	3	3	1.000	0	2	0	1	0	2	0	1	0.000	2.000	0.000	1.000
4155	1	sp|Q9JKP5|MBNL1_MOUSE	 	 	sp|Q8C181|MBNL2_MOUSE, sp|Q9JKP5|MBNL1_MOUSE	 	20.2	341	36975	Muscleblind-like protein 1 OS=Mus musculus GN=Mbnl1 PE=1 SV=1	24	15	0.625	5	7	7	5	4	5	4	2	5.000	6.667	6.400	5.000
4156	1	sp|Q9JKR6|HYOU1_MOUSE	 	 	 	 	42.6	999	111180	Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1	176	176	1.000	36	45	46	49	36	45	46	49	36.000	45.000	46.000	49.000
4157	1	sp|Q9JKS4|LDB3_MOUSE	 	 	 	 	6.1	723	76431	LIM domain-binding protein 3 OS=Mus musculus GN=Ldb3 PE=1 SV=1	12	12	1.000	3	4	3	2	3	4	3	2	3.000	4.000	3.000	2.000
4158	1	sp|Q9JKS5|HABP4_MOUSE	 	 	 	 	7.5	411	45924	Intracellular hyaluronan-binding protein 4 OS=Mus musculus GN=Habp4 PE=1 SV=2	7	7	1.000	1	1	2	3	1	1	2	3	1.000	1.000	2.000	3.000
4159	1	sp|Q9JKV1|ADRM1_MOUSE	 	 	 	 	15.5	407	42060	Proteasomal ubiquitin receptor ADRM1 OS=Mus musculus GN=Adrm1 PE=1 SV=2	17	17	1.000	3	6	5	3	3	6	5	3	3.000	6.000	5.000	3.000
4160	1	sp|Q9JKX6|NUDT5_MOUSE	 	 	 	 	38.5	218	23984	ADP-sugar pyrophosphatase OS=Mus musculus GN=Nudt5 PE=1 SV=1	31	31	1.000	7	6	10	8	7	6	10	8	7.000	6.000	10.000	8.000
4161	1	sp|Q9JKY5|HIP1R_MOUSE	 	 	sp|Q8VD75|HIP1_MOUSE, sp|Q9JKY5|HIP1R_MOUSE	 	4.7	1068	119425	Huntingtin-interacting protein 1-related protein OS=Mus musculus GN=Hip1r PE=1 SV=2	6	3	0.500	1	3	1	1	1	2	0	0	1.000	2.111	0.000	0.000
4162	1	sp|Q9JL15|LEG8_MOUSE	 	 	 	 	5.7	316	36161	Galectin-8 OS=Mus musculus GN=Lgals8 PE=1 SV=1	3	3	1.000	0	2	0	1	0	2	0	1	0.000	2.000	0.000	1.000
4163	1	sp|Q9JL26|FMNL1_MOUSE	 	 	 	 	3.5	1094	122058	Formin-like protein 1 OS=Mus musculus GN=Fmnl1 PE=1 SV=1	4	4	1.000	2	1	1	0	2	1	1	0	2.000	1.000	1.000	0.000
4164	1	sp|Q9JL35|HMGN5_MOUSE	 	 	 	 	66.7	406	45343	High mobility group nucleosome-binding domain-containing protein 5 OS=Mus musculus GN=Hmgn5 PE=1 SV=2	56	56	1.000	14	12	14	16	14	12	14	16	14.000	12.000	14.000	16.000
4165	1	sp|Q9JL62|GLTP_MOUSE	 	 	 	 	35.4	209	23689	Glycolipid transfer protein OS=Mus musculus GN=Gltp PE=1 SV=3	39	39	1.000	8	9	11	11	8	9	11	11	8.000	9.000	11.000	11.000
4166	1	sp|Q9JLB0|MPP6_MOUSE	 	 	 	 	8.3	553	62630	MAGUK p55 subfamily member 6 OS=Mus musculus GN=Mpp6 PE=1 SV=1	5	5	1.000	2	1	2	0	2	1	2	0	2.000	1.000	2.000	0.000
4167	1	sp|Q9JLI6|SCLY_MOUSE	 	 	 	 	22.5	432	47173	Selenocysteine lyase OS=Mus musculus GN=Scly PE=1 SV=1	21	21	1.000	6	4	6	5	6	4	6	5	6.000	4.000	6.000	5.000
4168	1	sp|Q9JLI8|SART3_MOUSE	 	 	 	 	16.9	962	109618	Squamous cell carcinoma antigen recognized by T-cells 3 OS=Mus musculus GN=Sart3 PE=1 SV=1	24	24	1.000	5	7	7	5	5	7	7	5	5.000	7.000	7.000	5.000
4169	1	sp|Q9JLJ2|AL9A1_MOUSE	 	 	 	 	55.3	494	53514	4-trimethylaminobutyraldehyde dehydrogenase OS=Mus musculus GN=Aldh9a1 PE=1 SV=1	162	162	1.000	44	43	37	38	44	43	37	38	44.000	43.000	37.000	38.000
4170	1	sp|Q9JLM8|DCLK1_MOUSE	 	 	 	 	15.1	756	84152	Serine/threonine-protein kinase DCLK1 OS=Mus musculus GN=Dclk1 PE=1 SV=1	18	18	1.000	5	4	5	4	5	4	5	4	5.000	4.000	5.000	4.000
4171	1	sp|Q9JLN9|MTOR_MOUSE	 	 	 	 	6.5	2549	288786	Serine/threonine-protein kinase mTOR OS=Mus musculus GN=Mtor PE=1 SV=2	20	20	1.000	6	4	6	4	6	4	6	4	6.000	4.000	6.000	4.000
4172	1	sp|Q9JLQ0|CD2AP_MOUSE	 	 	 	 	46.2	637	70449	CD2-associated protein OS=Mus musculus GN=Cd2ap PE=1 SV=3	67	67	1.000	18	16	14	19	18	16	14	19	18.000	16.000	14.000	19.000
4173	1	sp|Q9JLQ2|GIT2_MOUSE	 	 	sp|Q3V140|ACRBP_MOUSE, sp|Q68FF6|GIT1_MOUSE, sp|Q9JLQ2|GIT2_MOUSE	 	9.2	708	78765	ARF GTPase-activating protein GIT2 OS=Mus musculus GN=Git2 PE=1 SV=2	12	10	0.833	2	5	3	2	1	4	3	2	1.143	4.444	3.000	2.000
4174	1	sp|Q9JLT4|TRXR2_MOUSE	 	 	sp|Q9JLT4|TRXR2_MOUSE, sp|Q9JMH6|TRXR1_MOUSE	 	22.9	524	56602	Thioredoxin reductase 2, mitochondrial OS=Mus musculus GN=Txnrd2 PE=1 SV=4	22	18	0.818	4	4	6	8	3	3	5	7	3.150	3.150	5.238	7.304
4175	1	sp|Q9JLV1|BAG3_MOUSE	 	 	 	 	36.2	577	61859	BAG family molecular chaperone regulator 3 OS=Mus musculus GN=Bag3 PE=1 SV=2	49	49	1.000	12	13	11	13	12	13	11	13	12.000	13.000	11.000	13.000
4176	1	sp|Q9JLV5|CUL3_MOUSE	 	 	sp|Q7TT50|MRCKB_MOUSE, sp|Q8BYW1|RHG25_MOUSE, sp|Q9JLV5|CUL3_MOUSE	 	24.2	768	88947	Cullin-3 OS=Mus musculus GN=Cul3 PE=1 SV=1	44	39	0.886	13	6	14	11	11	6	13	9	11.786	6.000	13.406	9.783
4177	1	sp|Q9JLV6|PNKP_MOUSE	 	 	 	 	26.8	522	57223	Bifunctional polynucleotide phosphatase/kinase OS=Mus musculus GN=Pnkp PE=1 SV=2	16	16	1.000	4	4	6	2	4	4	6	2	4.000	4.000	6.000	2.000
4178	1	sp|Q9JLZ3|AUHM_MOUSE	 	 	 	 	31.5	314	33395	Methylglutaconyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Auh PE=1 SV=1	39	39	1.000	9	15	7	8	9	15	7	8	9.000	15.000	7.000	8.000
4179	1	sp|Q9JM13|RABX5_MOUSE	 	 	 	 	19.1	491	56868	Rab5 GDP/GTP exchange factor OS=Mus musculus GN=Rabgef1 PE=1 SV=1	10	10	1.000	4	0	3	3	4	0	3	3	4.000	0.000	3.000	3.000
4180	1	sp|Q9JM14|NT5C_MOUSE	 	 	 	 	33.5	200	23076	5'(3')-deoxyribonucleotidase, cytosolic type OS=Mus musculus GN=Nt5c PE=1 SV=1	36	36	1.000	11	9	8	8	11	9	8	8	11.000	9.000	8.000	8.000
4181	1	sp|Q9JM52|MINK1_MOUSE	 	 	sp|P97820|M4K4_MOUSE, sp|Q9JM52|MINK1_MOUSE	 	8.6	1308	147293	Misshapen-like kinase 1 OS=Mus musculus GN=Mink1 PE=1 SV=3	20	6	0.300	6	3	5	6	2	2	1	1	4.667	2.667	2.000	2.000
4182	1	sp|Q9JM62|REEP6_MOUSE	 	 	 	 	11.4	201	22204	Receptor expression-enhancing protein 6 OS=Mus musculus GN=Reep6 PE=1 SV=1	11	11	1.000	3	5	2	1	3	5	2	1	3.000	5.000	2.000	1.000
4183	1	sp|Q9JM76|ARPC3_MOUSE	 	 	 	 	50.0	178	20524	Actin-related protein 2/3 complex subunit 3 OS=Mus musculus GN=Arpc3 PE=1 SV=3	54	54	1.000	13	14	12	15	13	14	12	15	13.000	14.000	12.000	15.000
4184	1	sp|Q9JM96|BORG4_MOUSE	 	 	 	 	18.9	349	37869	Cdc42 effector protein 4 OS=Mus musculus GN=Cdc42ep4 PE=1 SV=1	11	11	1.000	2	4	2	3	2	4	2	3	2.000	4.000	2.000	3.000
4185	1	sp|Q9JMA1|UBP14_MOUSE	 	 	 	 	46.0	493	56001	Ubiquitin carboxyl-terminal hydrolase 14 OS=Mus musculus GN=Usp14 PE=1 SV=3	82	82	1.000	23	19	19	21	23	19	19	21	23.000	19.000	19.000	21.000
4186	1	sp|Q9JMC3|DNJA4_MOUSE	 	 	 	 	25.9	397	44901	DnaJ homolog subfamily A member 4 OS=Mus musculus GN=Dnaja4 PE=1 SV=1	21	21	1.000	5	6	5	5	5	6	5	5	5.000	6.000	5.000	5.000
4187	1	sp|Q9JMD3|PCTL_MOUSE	 	 	 	 	28.5	291	32951	PCTP-like protein OS=Mus musculus GN=Stard10 PE=1 SV=1	21	21	1.000	5	5	5	6	5	5	5	6	5.000	5.000	5.000	6.000
4188	1	sp|Q9JME7|TPC2L_MOUSE	 	 	 	 	22.3	139	16018	Trafficking protein particle complex subunit 2-like protein OS=Mus musculus GN=Trappc2l PE=1 SV=1	12	12	1.000	1	2	5	4	1	2	5	4	1.000	2.000	5.000	4.000
4189	1	sp|Q9JMG1|EDF1_MOUSE	 	 	 	 	35.1	148	16369	Endothelial differentiation-related factor 1 OS=Mus musculus GN=Edf1 PE=1 SV=1	20	20	1.000	4	5	5	6	4	5	5	6	4.000	5.000	5.000	6.000
4190	1	sp|Q9JMG7|HDGR3_MOUSE	 	 	 	 	30.7	202	22430	Hepatoma-derived growth factor-related protein 3 OS=Mus musculus GN=Hdgfrp3 PE=1 SV=2	13	13	1.000	2	4	1	6	2	4	1	6	2.000	4.000	1.000	6.000
4191	1	sp|Q9JMH6|TRXR1_MOUSE	 	 	sp|Q9JLT4|TRXR2_MOUSE, sp|Q9JMH6|TRXR1_MOUSE	 	33.9	613	67083	Thioredoxin reductase 1, cytoplasmic OS=Mus musculus GN=Txnrd1 PE=1 SV=3	70	66	0.943	18	18	17	17	17	17	16	16	17.850	17.850	16.762	16.696
4192	1	sp|Q9JMH9|MY18A_MOUSE	 	 	 	 	7.0	2050	232752	Unconventional myosin-XVIIIa OS=Mus musculus GN=Myo18a PE=1 SV=2	17	17	1.000	3	6	5	3	3	6	5	3	3.000	6.000	5.000	3.000
4193	1	sp|Q9JMI7|TX101_MOUSE	 	 	 	 	20.8	250	26998	Testis-expressed protein 101 OS=Mus musculus GN=Tex101 PE=1 SV=1	6	6	1.000	5	0	1	0	5	0	1	0	5.000	0.000	1.000	0.000
4194	1	sp|Q9QUH0|GLRX1_MOUSE	 	 	 	 	48.6	107	11871	Glutaredoxin-1 OS=Mus musculus GN=Glrx PE=1 SV=3	23	23	1.000	6	7	5	5	6	7	5	5	6.000	7.000	5.000	5.000
4195	1	sp|Q9QUI0|RHOA_MOUSE	 	 	sp|P62746|RHOB_MOUSE, sp|Q62159|RHOC_MOUSE, sp|Q9QUI0|RHOA_MOUSE	 	42.5	193	21782	Transforming protein RhoA OS=Mus musculus GN=Rhoa PE=1 SV=1	59	19	0.322	16	16	12	15	5	6	4	4	12.857	13.500	9.943	11.333
4196	1	sp|Q9QUJ7|ACSL4_MOUSE	 	 	 	 	4.8	711	79076	Long-chain-fatty-acid--CoA ligase 4 OS=Mus musculus GN=Acsl4 PE=1 SV=2	7	7	1.000	1	2	2	2	1	2	2	2	1.000	2.000	2.000	2.000
4197	1	sp|Q9QUM0|ITA2B_MOUSE	 	 	 	 	5.8	1033	112677	Integrin alpha-IIb OS=Mus musculus GN=Itga2b PE=1 SV=2	4	4	1.000	0	1	2	1	0	1	2	1	0.000	1.000	2.000	1.000
4198	1	sp|Q9QUM9|PSA6_MOUSE	 	 	 	 	67.5	246	27372	Proteasome subunit alpha type-6 OS=Mus musculus GN=Psma6 PE=1 SV=1	132	132	1.000	33	38	29	32	33	38	29	32	33.000	38.000	29.000	32.000
4199	1	sp|Q9QUR6|PPCE_MOUSE	 	 	 	 	53.4	710	80751	Prolyl endopeptidase OS=Mus musculus GN=Prep PE=1 SV=1	158	158	1.000	38	32	42	46	38	32	42	46	38.000	32.000	42.000	46.000
4200	1	sp|Q9QUR7|PIN1_MOUSE	 	 	 	 	33.9	165	18370	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Mus musculus GN=Pin1 PE=1 SV=1	30	30	1.000	8	7	9	6	8	7	9	6	8.000	7.000	9.000	6.000
4201	1	sp|Q9QVP9|FAK2_MOUSE	 	 	sp|P34152|FAK1_MOUSE, sp|Q9QVP9|FAK2_MOUSE	 	12.6	1009	115793	Protein-tyrosine kinase 2-beta OS=Mus musculus GN=Ptk2b PE=1 SV=2	20	17	0.850	5	4	6	5	5	3	5	4	5.000	3.600	5.833	4.800
4202	1	sp|Q9QWK4|CD5L_MOUSE	 	 	 	 	22.7	352	38862	CD5 antigen-like OS=Mus musculus GN=Cd5l PE=1 SV=3	20	20	1.000	5	5	5	5	5	5	5	5	5.000	5.000	5.000	5.000
4204	1	sp|Q9QWR8|NAGAB_MOUSE	 	 	 	 	23.1	415	47234	Alpha-N-acetylgalactosaminidase OS=Mus musculus GN=Naga PE=1 SV=2	54	54	1.000	13	15	15	11	13	15	15	11	13.000	15.000	15.000	11.000
4205	1	sp|Q9QWY8|ASAP1_MOUSE	 	 	 	 	7.6	1147	127420	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Mus musculus GN=Asap1 PE=1 SV=2	16	16	1.000	5	2	3	6	5	2	3	6	5.000	2.000	3.000	6.000
4206	1	sp|Q9QX11|CYH1_MOUSE	 	 	sp|O08967|CYH3_MOUSE, sp|Q9QX11|CYH1_MOUSE	 	12.8	398	46273	Cytohesin-1 OS=Mus musculus GN=Cyth1 PE=1 SV=2	17	10	0.588	4	5	4	4	2	4	2	2	4.000	4.800	4.000	4.000
4207	1	sp|Q9QX60|DGUOK_MOUSE	 	 	 	 	26.4	277	32281	Deoxyguanosine kinase, mitochondrial OS=Mus musculus GN=Dguok PE=1 SV=3	11	11	1.000	2	5	3	1	2	5	3	1	2.000	5.000	3.000	1.000
4208	1	sp|Q9QXA5|LSM4_MOUSE	 	 	 	 	27.0	137	15076	U6 snRNA-associated Sm-like protein LSm4 OS=Mus musculus GN=Lsm4 PE=1 SV=1	8	8	1.000	2	2	3	1	2	2	3	1	2.000	2.000	3.000	1.000
4209	1	sp|Q9QXB9|DRG2_MOUSE	 	 	 	 	33.2	364	40718	Developmentally-regulated GTP-binding protein 2 OS=Mus musculus GN=Drg2 PE=1 SV=1	39	39	1.000	12	9	7	11	12	9	7	11	12.000	9.000	7.000	11.000
4210	1	sp|Q9QXC1|FETUB_MOUSE	 	 	 	 	43.8	388	42712	Fetuin-B OS=Mus musculus GN=Fetub PE=1 SV=1	80	80	1.000	24	25	16	15	24	25	16	15	24.000	25.000	16.000	15.000
4211	1	sp|Q9QXD6|F16P1_MOUSE	 	 	 	 	31.7	338	36912	Fructose-1,6-bisphosphatase 1 OS=Mus musculus GN=Fbp1 PE=1 SV=3	39	39	1.000	7	7	13	12	7	7	13	12	7.000	7.000	13.000	12.000
4212	1	sp|Q9QXD8|LIMD1_MOUSE	 	 	 	 	11.2	668	71421	LIM domain-containing protein 1 OS=Mus musculus GN=Limd1 PE=1 SV=2	6	6	1.000	3	1	1	1	3	1	1	1	3.000	1.000	1.000	1.000
4213	1	sp|Q9QXE0|HACL1_MOUSE	 	 	 	 	23.9	581	63660	2-hydroxyacyl-CoA lyase 1 OS=Mus musculus GN=Hacl1 PE=1 SV=2	25	25	1.000	8	6	9	2	8	6	9	2	8.000	6.000	9.000	2.000
4214	1	sp|Q9QXE7|TBL1X_MOUSE	 	 	sp|Q8BHJ5|TBL1R_MOUSE, sp|Q9QXE7|TBL1X_MOUSE	 	17.8	527	56802	F-box-like/WD repeat-containing protein TBL1X OS=Mus musculus GN=Tbl1x PE=1 SV=2	13	5	0.385	3	3	3	4	1	1	1	2	2.000	3.000	3.000	4.000
